userName,content,score
Emy Elsje Sigalingging,"Sampai sejauh ini sih di OS android stock hp saya gak ada masalah & per-hari ini saya tulis ulasan saya ,aplikasi belum saya update lg Krn saat posting ini di play store minta update....soalnya takut error 😁😄😅😂😆🤣 apalagi pas baca ulasan dr pengguna yg lain",4
Dwi gilang Ramadhan,Mudah & respon cepat,5
Rizkia Julisa,Pokoke mantaaao 👍👍👍,5
Michael Lucky,Bagus,5
Ari,Aplikasi yg sangat bagus... Memudahkan transaksi 👍👍👍,5
Muhammad Hasniar,Mantap,5
VST PLUGINS SHOW,"Login saja sudah tidak bisa, lewat web bisa.. Niat buat aplikasi apa tidak?",4
Martinus Purna,"sdh sangat bagus dan banyak membantu,cuman channel pembayaran lainnya harus banyak ditingkatkan misalnya pembayaran di pelabuhan",5
Muhammad Sastiono,"Mau daftar tidak bisa masuk beranda. Setiap buka aplikasi langsung notif ""mohon maaf, saat ini perangkat Anda belum dapat digunakan untuk mengkases OCTO Mobile. Info lebih lanjut: 141041"" kenapa tuh?",1
Betria Elsa,Ketua,3
Leoni Ng,👎👎👎,1
Lala Dewi,Bagus saya suka,5
Kustian Aldi,Gabisa buka udh laporan via e-mail dan udh 1 bulan ga ada hasil,1
evans lukars,Keren,5
Zu Zunedtea,Gampang sangat efisien tdk buang waktu. Terima kasig octo,5
Haris Man,Mantap,5
junaidi ahmad,Mantap,5
Markoest,"Sangat membantu cuman kalau sudah masuk app terus masuk ke rekening,pada saat mau ke beranda lagi itu agak alama tidak secepat masuk...terimakasih",4
Fira Artika Oktavian,Thankyou Octo,5
Kiki Orlando,Bank paling Gajelas,1
Aldi Putra,"Amit amit dahh, kaga ada kebijakan sama sekali",1
Andy Cp17,Kenapa ya di versi android 11 tidak support tp di versi 8 suprot,1
Abah Kolot,Ojok yg punya rekpon sebaiknya punya apps ini,5
Darwin Afifah,Ribet GX kaya bank tetangga m banking nya setiap login udah masukan id nunggu SMS kode dulu mending langsung ada mah code nya ini kaga muncul muncul kecewa pake octo mobile,1
Felix Hendro,"Kenapa saya tidak bisa update aplikasi di okt 2023? Saya pakai play store. Di unduh sampai 97% aja udah gitu gak bisa aja. Kenapa ya? Udah kartu ATM gak bisa dipakai, sekarang aplikasinya gak bisa di update lagi! Tolong dong CIMB Niaga",3
handry setiady,"Nggak bagus aplikasinya baru buat m banking, belum seminggu sudah eror",1
Ismail,"Praktis, cepat, simpel",5
Eko Sujarwadi,Good,5
As Chan,Mf saya butuh bantuan nya nih tolong data saya di apus supaya saya bisa masuk lgi ke cimb niaga tolong di bantu ea,2
Eddy,B5. Sangat terbantu dengan apl. Octo mobil. Operasional tak ada kendala. Cuma sedikit kecewa selama kurang lebih 1 tahun ini menggunakan apl. Octo mobil. Layanan fitur pinjaman Octo loan sudah pengajuan kok gak ada tanggapan langsung sama sekali ya min. Menunggu proses 6hari sampai skrng belum ada pemberitahuan.,5
Amir Darma,Ok,5
Paul,"Gue nyelengin duit di Pendem di tanah malah gropok dimakan rayap, aduh kesel deh gue,kalau bisa di bank kali enak?",4
Raudhatul Huda,"Selalu lancar dan cepat,semoga semakin sukses cimb siip.",5
Erfan Robiansyah,Bagus,4
Elbina Manalu,Mantap,5
Cahyono Cahyono,Bagus tanpa kendala,5
Mitha Aprilia,Gimana sih mau login aja susah nya minta ampun malah close sendiri gimana mau pake nih m banking kalau eror terus,1
Daniel Geordano,"Saya suka, Sangat memuaskan",5
Rizky Amalia,Bank yg banyak masalah khususnya kartu kreditnya.. berulang2 telp call center ga dpat solusi.. malah dikenakan bunga!!! Yg salah mereka tiba2 tagihan bnyak bnget gara2 sistemnya mereka. Dilaporin katae ga usah dibayar.. giliran ga dibayar malah ditagih bunga.. dilaporin lagi malah dibilang krn kurang bayar!! Ga ada solusi meskipun lapor sana sini parah!!!,1
Samuel Afendik,Bank'nya Worth it tapi aplikasi ga... Beda jauh,1
Bawon Nuswantoro,Ok,5
Muhammad As'ad,"Saya sedang hidup di luar negeri, buka rekening CIMB rencana buat mempermudah, dari 2 bulan lepas masih bermasalah, sangat mengecewakan, maaf dengan kata ""kecewa"" semoga kedepannya diperbaiki secepatnya",1
sdn006bengkong ops,Setiap mau transaksi ...kok ngebug bug aja...muncul tulisan null..solusinya donk,3
Endra karuna,burui ribet,2
